Timestamp,Record Type,Instrument Name,Premium (256ths),Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask,Sequence
07:18:45:229026 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,15352
07:18:53:739008 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15359
07:18:53:739008 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15363
07:18:53:739053 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15364
07:18:53:739077 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15368
07:18:56:739302 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,15390
07:19:05:748441 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15461
07:19:05:748441 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15465
07:19:05:775175 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15496
07:19:08:775045 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,15562
07:19:41:145912 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,15585
07:19:41:145912 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15591
07:19:44:145330 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,15593
07:19:45:998332 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,15594
07:19:45:998332 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15599
07:19:48:998596 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,15644
07:19:49:725704 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15652
07:19:49:725704 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15656
07:19:49:726579 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15666
07:19:49:726698 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15674
07:19:52:726670 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,15733
07:22:45:975287 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15995
07:22:45:975287 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,16003
07:22:48:975655 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,16040
07:22:50:173638 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,16052
07:22:50:173638 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,16056
07:22:53:173951 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,16126
