Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
04:43:44:016922 20180108,TRADE,2_YEAR,25558,1,1,0,B,6057940000031AB4,7149
04:43:44:016922 20180108,TRADE,2_YEAR,25558,5,1,1,A,6057940000031D59,7150
04:43:44:016922 20180108,TRADE,2_YEAR,25558,2,1,0,B,6057940000031ABB,7151
04:43:44:016922 20180108,TRADE,2_YEAR,25558,2,1,0,B,6057940000031B14,7152
04:43:44:019101 20180108,TRADE,2_YEAR,25558,5,1,1,A,6057940000031D59,7164
04:43:44:019101 20180108,TRADE,2_YEAR,25558,5,1,0,B,6057940000031D71,7165
04:44:41:999103 20180108,TRADE,2_YEAR,25558,10,1,0,B,6057940000031D77,7226
04:44:41:999103 20180108,TRADE,2_YEAR,25558,10,1,1,A,6057940000032124,7227
04:47:53:775603 20180108,TRADE,2_YEAR,25558,2,1,0,B,6057940000031D88,7255
04:47:53:775603 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032B9F,7256
04:47:53:775603 20180108,TRADE,2_YEAR,25558,4,1,0,B,6057940000031FCC,7257
04:47:53:775712 20180108,TRADE,2_YEAR,25558,6,1,0,B,6057940000031FCC,7261
04:47:53:775712 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032BA9,7262
04:47:53:775744 20180108,TRADE,2_YEAR,25558,6,1,0,B,6057940000031FCC,7265
04:47:53:775744 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032BAA,7266
04:47:53:775784 20180108,TRADE,2_YEAR,25558,5,1,0,B,6057940000031FCC,7270
04:47:53:775784 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032BAD,7271
04:47:53:775784 20180108,TRADE,2_YEAR,25558,1,1,0,B,6057940000032130,7272
04:47:53:775842 20180108,TRADE,2_YEAR,25558,6,1,0,B,6057940000032130,7275
04:47:53:775842 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032BB3,7276
04:47:53:775898 20180108,TRADE,2_YEAR,25558,6,1,0,B,6057940000032130,7279
04:47:53:775898 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000032BB9,7280
04:47:53:775923 20180108,TRADE,2_YEAR,25558,7,1,0,B,6057940000032130,7283
04:47:53:775923 20180108,TRADE,2_YEAR,25558,7,1,1,A,6057940000032BBA,7284
04:47:53:776063 20180108,TRADE,2_YEAR,25558,1,1,1,A,6057940000032BBC,7289
04:47:53:776063 20180108,TRADE,2_YEAR,25558,1,1,0,B,6057940000032BC6,7290
04:48:40:681978 20180108,TRADE,2_YEAR,25558,10,1,0,A,6057940000032CB9,7354
04:48:40:681978 20180108,TRADE,2_YEAR,25558,12,1,1,B,6057940000032EF8,7355
04:48:40:681978 20180108,TRADE,2_YEAR,25558,2,1,0,A,6057940000032CC6,7356
04:48:40:682058 20180108,TRADE,2_YEAR,25558,2,1,0,A,6057940000032D4E,7360
04:48:40:682058 20180108,TRADE,2_YEAR,25558,2,1,1,B,6057940000032EFC,7361
04:58:40:074783 20180108,TRADE,2_YEAR,25558,3,1,0,B,6057940000032EFD,7824
04:58:40:074783 20180108,TRADE,2_YEAR,25558,3,1,1,A,6057940000035064,7825
05:01:16:603336 20180108,TRADE,2_YEAR,25558,2,1,0,B,6057940000032F0B,8214
05:01:16:603336 20180108,TRADE,2_YEAR,25558,7,1,1,A,6057940000035F4A,8215
05:01:16:603336 20180108,TRADE,2_YEAR,25558,3,1,0,B,60579400000331BD,8216
05:01:16:603336 20180108,TRADE,2_YEAR,25558,2,1,0,B,6057940000033A3F,8217
05:01:55:114164 20180108,TRADE,2_YEAR,25558,3,1,0,B,6057940000034F07,8283
05:01:55:114164 20180108,TRADE,2_YEAR,25558,6,1,1,A,605794000003631A,8284
05:01:55:114164 20180108,TRADE,2_YEAR,25558,1,1,0,B,6057940000036247,8285
05:01:55:114164 20180108,TRADE,2_YEAR,25558,1,1,0,B,6057940000036292,8286
05:01:55:114164 20180108,TRADE,2_YEAR,25558,1,1,0,B,60579400000362CC,8287
