Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17754
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17755
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17756
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17757
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17758
08/01/2018 16:06:28.370,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,39,,,,,,,,,,,882,907,,,,,,,,,26,791,551,481,,99.8359375,99.828125,99.8203125,99.8125,17759
08/01/2018 16:06:28.370,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17760
08/01/2018 16:06:28.370,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17761
08/01/2018 16:06:28.370,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17762
08/01/2018 16:06:28.620,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,557,,,,,,,17763
08/01/2018 16:06:29.057,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,805,,,,,,,,17764
08/01/2018 16:06:29.635,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,827,,,,,,,,17765
08/01/2018 16:06:29.807,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,847,,,,,,,,17766
08/01/2018 16:06:30.073,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,867,,,,,,,,17767
08/01/2018 16:06:31.292,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,1.96,1.956,,,99.8359375,43,1.958,26,882,1.926351,7867,,,,,,99.837,1.95913,882,907,749,367,332,99.84375,99.8515625,99.859375,99.8671875,99.875,26,867,557,481,338,99.8359375,99.828125,99.8203125,99.8125,99.8046875,17768
08/01/2018 16:06:31.573,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,17769
08/01/2018 16:06:32.042,USD,2YR NOTE,US_500,2_YEAR,99.8359375,99.84375,,,,,,,,25,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17770
08/01/2018 16:06:32.854,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,887,,,337,,,,,,17771
08/01/2018 16:06:40.651,USD,2YR NOTE,US_500,2_YEAR,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,47,,,,338,,,,,,17772
